key,label,definitionUuid,catalogCategory,catalogPath,effectiveCategory,effectivePath,source,targets,stages,secondaryCategories,review
router,Router,sgrape.builtin.router,data,data,data,data,editor,"top,mat","vertex,pixel",,
math,Math,sgrape.builtin.math,math,math,uncategorized,uncategorized,editor,"top,mat","vertex,pixel",,catalog/UI category differs; unclassified built-in
switch,Switch,sgrape.builtin.switch,logic,logic,uncategorized,uncategorized,editor,"top,mat","vertex,pixel",,catalog/UI category differs; unclassified built-in
scalar,Scalar,sgrape.builtin.scalar,data,data,data,data,editor,"top,mat","vertex,pixel",,
convert,Convert,sgrape.builtin.convert,data,data,data,data,editor,"top,mat","vertex,pixel",,
matrix_convert,Matrix Convert,sgrape.builtin.matrix_convert,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
compare,Compare,sgrape.builtin.compare,logic,logic,logic,logic,editor,"top,mat","vertex,pixel",,
if,If,sgrape.builtin.if,logic,logic,logic,logic,editor,"top,mat","vertex,pixel",,
comment,Note,sgrape.builtin.comment,data,data,data,data,editor,"top,mat","vertex,pixel",,
generated_glsl,Generated GLSL,sgrape.builtin.generated_glsl,data,data,uncategorized,uncategorized,editor,"top,mat","vertex,pixel",,catalog/UI category differs; unclassified built-in
float,Float,sgrape.builtin.float,data,data,data,data,editor,"top,mat","vertex,pixel",,
vec2,Vector 2 · Constant,sgrape.builtin.vec2,data,data,data,data,editor,"top,mat","vertex,pixel",,
vec3,Vector 3 · Constant,sgrape.builtin.vec3,data,data,data,data,editor,"top,mat","vertex,pixel",,
color,Color RGBA,sgrape.builtin.color,color,color,color,color,editor,"top,mat","vertex,pixel",,
add,Add,sgrape.builtin.add,math,math/arithmetic,math,math/arithmetic,glsl,"top,mat","vertex,pixel",,
multiply,Multiply,sgrape.builtin.multiply,math,math/arithmetic,math,math/arithmetic,glsl,"top,mat","vertex,pixel",,
mix,Mix,sgrape.builtin.mix,math,math/interpolation,math,math/interpolation,glsl,"top,mat","vertex,pixel",,
sin,Sine,sgrape.builtin.sin,math,math/trigonometry,math,math/trigonometry,glsl,"top,mat","vertex,pixel",,
subtract,Subtract,sgrape.builtin.subtract,math,math/arithmetic,math,math/arithmetic,glsl,"top,mat","vertex,pixel",,
divide,Divide,sgrape.builtin.divide,math,math/arithmetic,math,math/arithmetic,glsl,"top,mat","vertex,pixel",,
min,Minimum,sgrape.builtin.min,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
max,Maximum,sgrape.builtin.max,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
clamp,Clamp,sgrape.builtin.clamp,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
smoothstep,Smoothstep,sgrape.builtin.smoothstep,math,math/interpolation,math,math/interpolation,glsl,"top,mat","vertex,pixel",,
abs,Absolute,sgrape.builtin.abs,math,math/arithmetic,math,math/arithmetic,glsl,"top,mat","vertex,pixel",,
fract,Fraction,sgrape.builtin.fract,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
pow,Power,sgrape.builtin.pow,math,math/exponential,math,math/exponential,glsl,"top,mat","vertex,pixel",,
cos,Cosine,sgrape.builtin.cos,math,math/trigonometry,math,math/trigonometry,glsl,"top,mat","vertex,pixel",,
dot,Dot Product,sgrape.builtin.dot,vector,vector,vector,vector,glsl,"top,mat","vertex,pixel",,
length,Length,sgrape.builtin.length,vector,vector,vector,vector,glsl,"top,mat","vertex,pixel",,
normalize,Normalize,sgrape.builtin.normalize,vector,vector,vector,vector,glsl,"top,mat","vertex,pixel",,
rgba,Compose RGBA,sgrape.builtin.rgba,data,data,data,data,editor,"top,mat","vertex,pixel",color,
split,Split RGBA,sgrape.builtin.split,data,data,data,data,editor,"top,mat","vertex,pixel",color,
uniform,Uniform,sgrape.builtin.uniform,shader,shader,shader,shader,editor,"top,mat","vertex,pixel",,
uv,Texture Coordinates,sgrape.builtin.uv,coordinate,coordinate,coordinate,coordinate,td,"top,mat",pixel,,
texture,Texture 2D,sgrape.builtin.texture,texture,texture,texture,texture,glsl,"top,mat",pixel,,
position,TD Position,sgrape.builtin.position,shader,shader,shader,shader,td,"top,mat",vertex,,
deform,TD Deform,sgrape.builtin.deform,coordinate,coordinate,coordinate,coordinate,td,"top,mat",vertex,,
to_clip,World to Projection,sgrape.builtin.to_clip,coordinate,coordinate,coordinate,coordinate,td,"top,mat",vertex,,
vertex_out,Vertex Output,sgrape.builtin.vertex_out,shader,shader,shader,shader,td,"top,mat",vertex,,
pixel_out,Color Output,sgrape.builtin.pixel_out,shader,shader,shader,shader,td,"top,mat",pixel,,
sampler,Sampler 2D,sgrape.builtin.sampler,texture,texture,texture,texture,glsl,"top,mat",pixel,,
texture_sample,Texture 2D,sgrape.builtin.texture_sample,texture,texture,texture,texture,glsl,"top,mat",pixel,,
constant,Constant,sgrape.builtin.constant,,,uncategorized,uncategorized,editor,"top,mat","vertex,pixel",,catalog/UI category differs; unclassified built-in
top_input,TOP Input,sgrape.builtin.top_input,,,uncategorized,uncategorized,editor,"top,mat",pixel,,catalog/UI category differs; unclassified built-in
glsl_code,GLSL Code,sgrape.builtin.glsl_code,shader,shader,shader,shader,editor,"top,mat","vertex,pixel",,
vec4,Vector 4 · Constant,sgrape.builtin.vec4,data,data,data,data,editor,"top,mat","vertex,pixel",,
